Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355
230727B,1,Y,12,118,1:1A,1:1A-,1:1B,1:1B,2:1B,1:1A-,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1A,1:1B-,1:1A,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,N,3,31,1:0F,0:0NA,1:0WU,0:0NA,1:1C-,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,N,70,15,1:1C,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,2:0,0:0NA,1:1C-,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,N,63,6,0:0NA,0:0NA,2:0F,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,N,32,0,0:0NA,0:0NA,3:1C,2:0,1:0,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,70,64,1:1A,1:1B,1:1B,1:1C,1:1A,0:0NA,0:0NA,1:1A,0:0NA,1:1B,0:0NA,3:1B-,1:1B,1:1B+,1:1B-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,12,113,1:1B,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,2:1B,2:0,2:1A,1:1B,1:1A,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,Y,70,67,1:1B,1:1C,1:1B,1:1B,1:1,1:1C+,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B,1:1B+,1:1B+,1:1C+,1:1B,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,70,59,1:1A,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1C-,1:1B-,1:1C-,0:0NA,2:1C-,0:0NA,0:0NA
230727B,1,Y,21,131,1:1B,1:1C,1:1A,2:0,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1A,1:1B,1:1B,1:1B-,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,70,53,1:1B,1:1C,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,1:1B-,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA
230727B,1,N,63,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,70,52,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:1B,2:1B,1:1B,1:1B-,2:1C+,0:0NA,1:1B-,0:0NA,0:0NA
