Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,MATH105,MATH102,MATH104,MATH255A,BIOL106,BIOL107,CHEM101,CHEM102,PHYS100A,PHYS100B,BIOL322,BIOL360,BIOL380,CHEM333,CHEM334
780602B,6,N,30.7,77,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B,2:1B-,2:0,2:1C,1:1C+,1:1B-,1:1B,3:1C,1:1C
780602B,3,N,15,31,0:0NA,1:1C,1:1B,1:1C+,1:1B,1:1C,1:1B,2:1C,1:1A-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,12,36,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,67.7,59,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1B-,1:0,2:1B,1:1A,1:1B+,1:1B+,0:0NA,0:0NA,0:0NA
780602B,4,N,6,119,1:1A,0:0NA,0:0NA,1:1B+,1:1B,1:1B,2:1B,1:1C,1:1B,1:1B-,1:1B,1:1A,1:1B-,1:1C,2:1C
780602B,1,N,0,54,0:0NA,2:1C,1:1C,1:1C,1:1C,1:1B,1:1B+,1:1C,1:1B,1:1C+,1:1A-,1:1B+,1:1B,3:0,0:0NA
780602B,3,N,64,67,0:0NA,2:0W,0:0NA,1:0D,2:0F,0:0NA,2:0,2:0,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,8,Y,6,141,1:1A,0:0NA,0:0NA,1:1B-,1:1C,1:1A,2:1A,2:1B,1:1B-,1:1B+,1:1C+,1:1C,2:1B-,2:1A-,1:1B
780602B,1,N,12,16,0:0NA,1:0,0:0NA,0:0NA,2:1C,3:0WU,1:1C,2:0F,1:1D+,1:1D,2:0F,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,6,109,0:0NA,1:1B,2:0,1:1C,2:1C-,1:1C,1:1C,1:1C,3:1C,0:0NA,2:0WU,1:1B+,1:1C,1:1D-,0:0NA
780602B,3,N,23,39,0:0NA,1:1C,1:0D,0:0NA,4:0C,1:1C,1:1C-,2:1C,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,1:0F,0:0NA
780602B,7,N,0,69,0:0NA,1:1C,2:1A-,2:0F,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,74,36,0:0NA,1:1C,1:1C,2:0,0:0NA,0:0NA,1:1C,2:0F,1:1D+,1:1C,1:1C,1:1B-,2:1B,1:1D,1:1C
780602B,3,Y,70,50,1:1C,0:0NA,0:0NA,1:0B,1:1B,1:1B,1:1B,1:1C,1:1B,1:1A,1:1B+,2:1C,2:1C,1:1C+,1:1D+
