Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120
233904B,4,N,0,26,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,1:1B-,1:0WU,1:1C+,0:0NA,0:0NA,1:1C,0:0NA
233904B,4,N,70,33,1:1B,1:1C,1:1C,1:1C-,1:0F,1:0,1:1B-,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,70,12,1:0,1:0,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,1:0,1:1A,1:1A,0:0NA,1:1C,0:0NA,1:1A,0:0NA
233904B,2,N,70,9,1:1C,1:1C,1:1D,1:1C,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,70,13,1:1A,0:0NA,2:0,2:0,0:0NA,1:1B+,0:0NA,0:0NA,1:1A,1:1C,1:1A,0:0NA,0:0NA,3:0,1:0
233904B,2,N,70,7,1:1A,1:0,1:1C,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1B,1:1C,1:0C,1:1B,0:0NA
233904B,2,N,3,4,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,70,9,1:1D+,1:1D,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1C,1:1B
233904B,3,N,60,10,1:1C,1:0,1:0,1:0,0:0NA,0:0NA,0:0NA,1:0,1:1C,1:1C,1:1A,0:0NA,0:0NA,2:1C,0:0NA
233904B,3,N,60,9,0:0NA,1:0,1:1C,1:0,0:0NA,1:0,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1A,1:0A,0:0NA,1:1C-
233904B,2,N,70,9,1:1C,0:0NA,1:1D-,1:1D-,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C+
