Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308
230726B,4,N,0,20,0:0NA,0:0NA,0:0NA,2:1B,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,10,N,70,24,1:1,1:1C,1:1A,1:1C,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,2:0NC,1:1D-,0:0NA,0:0NA,1:1C-,0:0NA
230726B,3,N,0,14,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,Y,0,125,1:1B,2:1B-,1:1A,1:1A,1:1B,1:1D+,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1CR,1:1C,1:1B,1:1B,1:1B,1:1B
230726B,14,Y,0,125,1:1C,2:1C,1:1C+,1:1A,2:1C,1:1D-,1:1B-,2:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,1:1CR,1:1D,1:1B+,1:1B-,1:1C,1:1C
230726B,4,Y,70,53,1:1B,1:1C,1:1A,1:1B,1:1B,1:1A,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1B,1:1B,1:1C+,1:1C+,1:1B+
230726B,7,N,3,26,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,23,38,1:1C,2:0,1:1C,1:1C+,3:1D+,1:1C,1:1B+,2:1B-,0:0NA,0:0NA,0:0NA,1:0,1:1C+,1:1CR,2:0,1:1C-,1:1C-,2:0F,1:1C-
230726B,5,N,70,18,1:1C,1:1A,1:1C,1:1B,1:1A,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,1:1A,2:1B-,3:0NC,2:0F,1:1C,0:0NA,1:1B-,1:0F
230726B,8,N,3,64,1:1D,1:0,1:1B-,2:0,1:1C,1:0,1:1A-,2:1C,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,Y,81,72,1:1C,2:0,1:1B-,1:0B,1:1C,1:1C,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,0:0NA,1:1B,1:1B,1:1D,1:1B
230726B,18,N,72,48,1:1C,0:0NA,1:1C,1:1A,1:1C,1:1B,0:0NA,1:1B,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1D+,1:1C-,1:1C+,1:1C+
230726B,6,N,0,65,0:0NA,0:0NA,2:1C,1:1B+,2:0F,0:0NA,1:1C+,4:0F,1:0,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,81,10,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,42,130,6:0,0:0NA,1:1C,1:1C+,2:0,1:1C,0:0NA,1:1C,1:0F,0:0NA,0:0NA,1:1A-,2:1C,2:1CR,1:1D+,0:0NA,1:1C,0:0NA,1:1C-
230726B,3,N,70,10,1:0,0:0NA,1:1D+,1:1B,1:0F,0:0NA,1:1C-,2:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,Y,79.2,68,1:1C,1:1C,1:1A,1:1B,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,1:1CR,1:1D-,1:1C,1:1C,1:1C,2:1C
230726B,3,Y,70,65,1:1A,1:1A,1:1A,1:1A,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1C,1:1B,1:1B-,1:1B,2:1B+
230726B,9,N,69,59,1:1B,2:0,1:1C,1:1B,1:1C,1:1D-,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1D,1:1B-,1:1CR,1:0F,1:1C+,1:1C+,1:1D,1:1B
230726B,5,N,0,24,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,22,12,1:0,0:0NA,0:0NA,1:1B-,1:0F,0:0NA,1:1C+,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,11,Y,15,115,2:1C,1:1B-,1:1C,1:1A,2:1B,1:1B,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1C-,2:1B-,1:1B+,1:1C+,1:1C
230726B,6,N,0,70,0:0NA,0:0NA,1:1C+,1:1A,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,6,9,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,69,66,1:1C,1:1B,1:1B,1:1B,1:1C,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,0:0NA,1:1A-,1:1C+,1:1C,1:1B-
230726B,5,N,0,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,70,43,1:1C,1:1C,1:1C,1:1B,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1C,1:1C,1:1C-,1:1C,3:0
230726B,3,Y,36,114,1:1B,1:1B,1:1B,1:1A-,1:1C,1:1C,1:1B+,1:1A-,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:0,1:1A,1:1B,2:1B-,1:1B
230726B,7,N,5,75,1:1D+,1:1C,1:1C,1:1A,1:1C,1:1C,3:1B,1:1A,1:1C-,0:0NA,0:0NA,1:0,1:1B-,1:1CR,4:0,2:0,2:0,2:0,0:0NA
230726B,2,N,6,15,0:0NA,0:0NA,1:0,1:1C,1:1D,0:0NA,1:1B-,1:1C,1:0WU,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,67,9,0:0NA,0:0NA,1:1A,0:0NA,1:1B,1:1B,1:1B,1:1B-,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,N,0,67,1:1B,1:1B,1:1C,1:1A-,1:1A,1:1A,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1B+,2:1B,1:1D+,1:1B,3:1C
230726B,2,N,3,67,2:1C,1:1B,1:1B,1:1B,1:1B,1:1B,1:1B+,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,2:1CR,1:0,1:1B,1:1C,1:1D+,0:0NA
230726B,5,Y,72.7,61,1:1C,1:1C,1:1B+,1:1A,1:1C,1:1C,1:1A-,0:0NA,0:0NA,1:1C,0:0NA,1:1B,1:1A,1:1CR,1:1A,1:1A-,1:1C,1:1C,1:1C+
230726B,9,N,0,40,2:0F,0:0NA,2:1D,1:1B+,2:1C,1:0,1:1B-,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,N,0,54,1:1D+,2:0,1:1B,1:1B-,1:1C+,1:1C+,1:0,2:1B,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,0,51,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,Y,70,68,1:1B,1:1B,1:1B-,1:1B,1:1C,1:1C-,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1CR,1:1C+,1:1B,1:1A-,1:1B,1:1B
230726B,5,Y,69,52,1:1A,1:1B,1:1A,0:0NA,1:1A,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1C,1:1A,1:1B-,1:1C-,1:1A
230726B,4,N,73.3,4,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,105.2,33,1:1B,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,2:0,1:0,2:0,2:1B-,1:1A
230726B,7,Y,70,77,1:1C,1:1B,1:1B-,1:1A,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1CR,1:1C-,1:1C+,1:1D,1:1D+,1:1B-
230726B,4,N,12,86,1:1B,1:1B+,1:1B,1:1A,1:1B,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1B,1:1CR,1:1A-,1:1B+,1:1B,1:1C,1:1C-
230726B,7,N,0,42,0:0NA,0:0NA,1:1D,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,0,56,1:1D,1:1D,1:1C,1:1B,1:1C,1:1C,1:1A,2:1C+,0:0NA,0:0NA,0:0NA,2:1C+,2:0,2:0,2:0,1:0,0:0NA,0:0NA,0:0NA
230726B,10,Y,66,62,2:0,2:0,1:1A,1:1B,1:1A,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1A,2:1CR,1:1B,2:1B-,2:1A,2:0,2:1A
230726B,2,N,0,24,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,Y,70,52,1:1A,1:1A,2:1A,1:1A,1:1B,1:1C,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,2:0,1:1C+,1:1A,1:1A-,1:1B+,1:1B-
230726B,7,N,11,80,1:1A,1:1A,1:1C,1:1A,1:1C,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:0,1:1A,1:1B+,1:1C+,1:1C-
230726B,9,N,46,52,1:0B-,2:0F,3:0,2:1A-,2:1D,0:0NA,1:1B+,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA
230726B,7,N,0,51,1:1C,1:1C-,2:0,2:1C,1:1B,1:1C,1:1A-,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA
230726B,9,N,13,70,1:1B,3:0,1:1C,1:1C+,1:1D,2:0F,1:1C,2:0F,2:0,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,9,49,0:0NA,0:0NA,0:0NA,1:1B-,1:1D,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,0,30,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,10,N,0,74,1:1A,1:1A,2:1A,1:1B,2:0,2:1B,1:1A-,2:1B,0:0NA,0:0NA,0:0NA,2:0,1:1A-,1:1CR,1:0,1:1A,2:0,3:0,3:0
230726B,6,N,70,15,3:0F,1:0F,1:1B-,1:0F,2:0,1:1C,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA
230726B,4,Y,70,55,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B-,1:1CR,1:1A,1:1A,1:1A,1:1A,1:1B
230726B,4,N,3,3,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,70,52,1:1A,1:1C,1:1B,1:0A,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1C,1:1B-,1:1A-,1:1B+,1:1B-
230726B,6,Y,70,50,1:1B,1:1C,1:1C,1:0B,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1C-,1:1B-,1:1C+,1:1C+,1:1C
230726B,7,N,16,65,3:1D,1:1D,1:1C-,3:1A,2:0F,1:1C,1:1A,3:1B,1:1D-,0:0NA,0:0NA,2:0,1:0,1:0,1:0,0:0NA,1:0,0:0NA,0:0NA
230726B,7,Y,70,70,1:1A,1:1A,1:1B,1:1A,1:1C,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1CR,1:1D,1:1B,1:1C,1:1B,1:1B-
230726B,3,N,26,43,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,1:1B+,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+
230726B,5,N,61,0,0:0NA,0:0NA,1:1B,0:0NA,1:1B,1:1C,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,12,N,9,96,1:1D-,1:1C,1:1B-,1:1A,1:1D,1:1D,1:1D+,1:1C,0:0NA,0:0NA,0:0NA,1:1C-,1:1B,1:1CR,1:0,1:1C-,1:0F,1:1D-,1:1C
230726B,11,Y,136,70,1:1B,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,2:1CR,1:1C,1:1B,1:1B-,1:1C-,1:1C
230726B,14,Y,67,81,1:1B,1:1C,1:1C,1:1B,1:1C,1:1C,0:0NA,1:1C,1:1D-,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,2:1C-,1:1C-,1:1C,1:1C,1:1C+
230726B,15,N,70,26,1:1A-,0:0NA,1:1A,3:1A,1:0F,0:0NA,1:1B,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,14,Y,0,139,1:1A,1:1B,1:1C,1:1B+,1:1C,1:1C+,1:1A,1:1C+,1:1C,0:0NA,0:0NA,1:0,1:1B,2:1CR,1:1B,1:1B,2:1C,1:1C,1:1C
230726B,6,Y,12,112,1:1C,1:1B,2:0,0:0NA,1:1B-,1:1B-,1:1A,1:1B-,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1D,1:1A-,1:1A-,1:1C+,1:1B
230726B,8,Y,70,61,1:1C,1:1C+,1:1A,1:1C,1:1C,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1CR,2:1C,1:1B-,1:1C,1:1C-,2:0D-
230726B,3,N,6,115,1:1C,3:1B,1:1C,3:1A,2:1C,2:1B-,1:1B+,1:1A,0:0NA,0:0NA,0:0NA,1:0,1:1B+,1:1CR,1:1C+,1:1B-,1:1C,1:1B-,1:1C
230726B,9,Y,11,132,1:1B,1:1C,1:1B,1:1A,1:1C-,1:1C,0:0NA,2:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,0:0NA,1:1C,1:1A-,1:1C-,1:1C+
230726B,2,N,70,20,1:1B,1:1C,1:1C,1:1C,1:1C,1:1B,1:1B,3:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,Y,70,64,1:1A,1:1A,1:1B,2:1D,1:1C,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,2:1B-,2:1CR,0:0NA,1:1A,1:1B,3:1C,1:1B
230726B,4,Y,0,139,2:1C,1:1C-,1:1C,1:1A,1:1C,3:1C,1:1B-,3:1C,0:0NA,0:0NA,0:0NA,1:1D,1:1B,2:1CR,1:1C,2:0,3:1B,1:1C,1:1C
230726B,2,Y,70,87,1:1C,0:0NA,1:1A,1:1B,1:1D,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1D,2:1C,1:1B,0:0NA,1:1C
230726B,12,Y,9.3,122,3:0,1:1B,1:1A,1:1A,1:1C,1:1C,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1C+,1:1A,1:1B+,1:1A,1:1B+
230726B,8,Y,94,46,1:1,1:1,1:1A,1:0B,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,2:0,2:1CR,0:0NA,2:0,1:1B-,1:1B-,2:1B-
230726B,10,Y,24,116,1:1B,1:1C,1:1A,1:0A,1:1B,1:1C,1:1B,2:1A-,1:0,0:0NA,0:0NA,2:1B,1:1A,1:1CR,2:1B+,1:1B-,1:1B,1:1B,1:1B+
230726B,5,Y,9,127,0:0NA,0:0NA,1:1C,1:1A,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,1:1B,1:1C+,1:1C,0:0NA,1:1A-
230726B,10,N,37,72,1:1C,1:1B,1:1B-,1:1C+,1:1C,2:0W,1:1B+,2:1C,0:0NA,0:0NA,0:0NA,2:0W,1:1C+,1:0NC,0:0NA,0:0NA,1:1D,1:0F,1:1C
230726B,3,Y,68.5,65,1:1C,1:1C,1:1B,1:1A-,1:1B,1:1C,1:1B,2:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1CR,2:1C-,1:1C+,1:1C-,1:1D,1:1C+
230726B,7,Y,64,60,1:1B,1:1B,1:1B,1:1C,1:1B,1:1B,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,0:0NA,1:1C+,1:1B+,1:1D+,1:1B+
230726B,12,Y,21,108,1:1B,1:1B-,1:1A,1:1B,1:1C,1:1C,1:1A,2:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,2:1C,1:1B+,1:1C-,1:1D+,1:1C
230726B,9,Y,3,139,1:1C,1:1B-,1:1B,1:1A,1:1C,1:1C,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1CR,1:1C-,1:1B,1:1C,1:1D+,1:1B+
230726B,20,Y,0,172,3:1D,1:1D,1:1C+,1:1B-,1:1C,1:1D,0:0NA,2:1C,1:1D+,0:0NA,0:0NA,2:0F,1:1A-,1:1CR,1:1C-,1:1B-,2:1C,2:1D,1:1C-
230726B,9,Y,22,106,1:1A-,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1C+,1:1A-,1:1B,2:0,1:1B
230726B,7,Y,94,65,1:1,1:1,2:0,1:1A,1:1B,1:1B,1:1C,2:0,1:0,0:0NA,0:0NA,3:0C,2:1B+,1:1CR,1:1A,2:0,2:1B,1:1C,1:1C
230726B,7,Y,70,77,1:1C-,1:1C-,1:1B,1:1C,1:1C,1:1D-,1:1A-,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,0:0NA,1:1C,1:1B,1:1D+,1:1C+
230726B,9,Y,70,80,1:1A,0:0NA,1:1B,1:1B-,1:1C,1:1C,0:0NA,3:1B+,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1CR,1:1C+,3:0B,1:1C,0:0NA,1:1C
230726B,11,Y,26,100,1:1A,2:0,1:1A,1:1A,1:1C,2:0,1:1B+,1:1C+,0:0NA,0:0NA,0:0NA,2:0,1:1A-,1:1CR,1:1B+,1:1B+,1:1A,1:1C+,2:0
230726B,9,Y,0,131,2:1C+,1:1B-,1:1A-,3:0,2:1C,2:1C+,3:1C,2:0,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1C,1:1B+,1:1B+,1:1C,2:1A
230726B,7,Y,23,124,1:1A,1:1C,1:1C,1:1A,1:1A,1:1D,1:1B,2:0,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1D,1:1C,2:1D,1:1B+,1:1B
230726B,10,Y,3,128,1:1C,1:1B,1:1B-,1:1A,1:1C+,1:1D,1:1A-,1:1A-,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1C,1:1C+,1:1D,1:1B,1:1C
230726B,8,Y,0,136,1:1B,1:1C,1:1B,2:1A,2:1C-,1:1C+,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,2:0,1:1A-,1:1CR,1:1D+,1:1C,1:1C,2:1A,1:1C+
230726B,11,Y,70,80,1:1C,1:1C,1:1B-,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,2:1CR,1:1C,1:1C,1:1D+,1:1D+,1:1C
230726B,11,Y,8,122,1:1B,2:1C-,1:1C,1:1A,1:1C,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1B-,1:1CR,2:1D,1:1C,1:1C,2:1B-,2:1B-
230726B,8,Y,0,122,1:1C,2:1C,1:1C,1:1A,1:1C,1:1C,1:1A-,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1B+,1:1CR,1:1B,1:1C+,1:1A-,1:1C,1:1C
230726B,5,N,0,122,2:1A,1:1B+,1:1A-,1:1A,1:1B+,1:1A-,1:1A,2:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,0:0NA,1:1A,1:1B,2:1C+,1:1A
230726B,4,Y,23,106,2:0,1:1A,1:1C+,1:1B+,1:1C,1:1C-,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,0:0NA,1:1B+,1:1B,2:1C,1:1B
230726B,9,Y,7,118,1:1A,1:1A,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,0:0NA,0:0NA,1:1B,0:0NA,1:1A-
230726B,3,Y,6,125,1:1D,1:1C+,1:1C+,1:1A,1:1B,1:1C,1:1A-,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1A,2:0D+,2:1D+,1:1C,2:1C+
230726B,16,Y,8,127,3:0,1:1B,4:0,1:1D,3:1C,2:0,2:1C,2:1B+,0:0NA,0:0NA,0:0NA,1:0,1:1C-,1:1CR,0:0NA,1:1C,1:1C+,1:1D+,2:0
230726B,7,Y,83.3,49,1:1C,1:1D,1:1B,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,2:1CR,2:1C,1:1C,2:0,1:1D+,2:1B+
230726B,14,Y,38,116,1:1C,1:1C,1:0D-,1:1B-,2:0F,1:1B,1:1B+,2:1C,0:0NA,0:0NA,0:0NA,2:1C,1:1B,1:1CR,1:1C,1:1B,1:1C,1:1C-,1:1B
230726B,9,Y,78,85,1:1A,0:0NA,1:1B+,1:1A,1:1B-,1:1B,2:0,2:1A,0:0NA,0:0NA,0:0NA,2:0,1:1A-,2:1CR,2:1B+,1:1A,1:1A,1:1B+,1:1C+
230726B,12,N,0,55,0:0NA,0:0NA,0:0NA,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,45,121,1:1A,1:1D,1:1B-,1:1B-,5:1C,1:1B,1:1D+,4:1B,0:0NA,0:0NA,0:0NA,1:1D,1:1B-,1:1CR,2:1C-,1:1B-,1:1C,1:1D+,1:1C+
230726B,13,N,18,40,3:0F,0:0NA,2:1C,1:1B-,1:1C,1:1C,1:1A-,1:1C,2:0,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,10,Y,24,103,1:1B+,1:1B+,1:1B,1:1A,2:0,1:1A-,1:1A-,1:1B+,0:0NA,0:0NA,0:0NA,1:1C+,1:1B-,1:1CR,1:1B+,1:1B+,1:1B,1:1B,1:1A-
230726B,6,Y,74,69,1:1B,1:1B+,1:1A-,1:1A,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1CR,1:1B-,1:1B,1:1B,1:1B,1:1A
230726B,11,Y,64.5,70,1:1C,1:1D,1:1B,1:1B+,1:1C,1:1C,1:1B,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,0:0NA,2:1C+,1:1C,1:1D,1:1C
230726B,4,N,67,9,1:1C,1:1B,1:1B,1:1C-,1:1B,1:0,2:1C,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,N,66,54,3:1A-,0:0NA,1:1B+,0:0NA,1:1B,1:1B,1:0,1:1B,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA
230726B,12,Y,0,137,1:1B+,1:1A,1:1B,1:1A,1:1C,1:1B-,1:1B+,1:1A-,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1CR,1:1B,1:1B+,1:1B,1:1B,1:1B+
230726B,6,N,0,59,3:0,1:0,1:1C,1:1A,1:1C,1:1C,2:0,1:1C+,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA
230726B,15,Y,6,125,2:1B,1:1D,1:1C,1:1C+,1:1C+,2:1C-,1:1C-,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1C,2:1CR,1:1D,1:1B-,1:1C,1:1D,1:1C
