Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308
230741B,2,N,6,13,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,65.2,13,1:1,1:1A,1:1C,2:1C,1:1B-,1:1C,1:1B+,2:1C+,0:0NA,0:0NA,0:0NA,1:1A,1:0,1:0,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,70,20,1:1A,1:1C,1:1A,1:1B,1:1B,1:1C,2:1A-,1:1A-,0:0NA,0:0NA,0:0NA,1:1C,1:0,1:0,1:0,1:0,1:0,0:0NA,2:0,0:0NA,0:0NA,1:0
230741B,2,N,0,15,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,10,1:1,1:1C,1:1B,1:1C,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C-,1:1CR,1:0,1:1B+,1:1C,2:0,0:0NA,1:0,0:0NA,2:0
230741B,2,N,0,16,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,120,16,1:0C,1:0C,1:1A,1:1A,1:1A,1:1A,1:1B+,1:1C,0:0NA,0:0NA,0:0NA,1:1B,2:0,1:1CR,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0
230741B,2,N,70,10,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1CR,1:0,1:1B-,1:1D,1:0F,1:0,1:0,0:0NA,0:0NA
230741B,3,N,12,14,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,60,6,0:0NA,0:0NA,1:0,0:0NA,1:0,1:1C,1:1B+,2:0,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,14,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,3,7,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,14,0:0NA,0:0NA,0:0NA,1:1A,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,67,6,1:1B,0:0NA,1:1A,1:1A,1:1C,1:1B,1:1A,1:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230741B,3,N,66,3,0:0NA,0:0NA,1:1C,1:1C,2:0,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,70,6,1:1C,0:0NA,1:1A,1:1B,1:1D,1:1C,1:1C,1:0,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,1,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,0,14,0:0NA,0:0NA,0:0NA,1:1B+,1:0,0:0NA,0:0NA,1:1B,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,72,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,59,6,1:1A,0:0NA,1:1A-,0:0NA,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,13,1:1,1:1C,1:1B,1:1A,1:1C,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1CR,1:0,1:1B+,1:0,1:0,1:0,0:0NA,0:0NA,1:1B
230741B,5,N,70,26,1:1B+,1:1B+,1:1A,1:1B,1:1C+,2:1C,1:1C,0:0NA,0:0NA,1:1A,0:0NA,2:0,1:1C+,2:1CR,1:1B+,3:0,2:0,1:1A,0:0NA,0:0NA,0:0NA,1:0
230741B,3,N,0,16,0:0NA,0:0NA,0:0NA,2:1D,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,61.5,0,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C,1:0W,1:0W,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,0:0NA
230741B,2,N,10,13,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,1:0,1:1B,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,56,27,1:1B,1:1B,1:1A,1:1B,1:1B,1:1A,4:1B,0:0NA,0:0NA,1:1B,0:0NA,1:1A-,1:0,1:0,1:0,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0
230741B,2,N,0,16,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,6,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,9,12,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,3:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,70,16,1:1B,1:1B,1:1B,1:1A,1:1B,1:1C,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,1:1C,1:0,1:0,1:0,1:0,2:0,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA
230741B,2,N,0,3,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,1:0,3:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,10,1:1A,1:1A,1:1A,1:1B,1:1C,1:1A,1:1B,1:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:0,1:0,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,12,1:1,1:1C,1:1B,1:1B,1:1C,1:1C,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA
230741B,2,N,70,13,1:0,0:0NA,1:0,1:0,1:1C,0:0NA,1:1B-,1:1B,1:0,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,12,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,58,6,0:0NA,0:0NA,1:1B,0:0NA,1:0,0:0NA,1:1B+,1:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:0,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,6,10,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A-,1:1B+,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,5,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,10,1:1B,1:1C,1:1B,1:0B,1:1C,1:1C,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:0,1:0,0:0NA,1:0,0:0NA,1:0,1:0WU,0:0NA,0:0NA,1:0
230741B,2,N,77,8,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,10,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,2:0,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,12,13,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,6,1:1C,1:0,1:1B,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230741B,2,N,57,3,1:1B,0:0NA,1:1C,1:1A,1:1B,1:1A,1:1B,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230741B,2,N,68,8,1:1B,1:1B,1:1A,1:0B,1:1B,1:1B,1:1C,1:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA
230741B,2,N,0,15,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,10,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:0,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,12,14,0:0NA,0:0NA,0:0NA,1:1B+,1:0,0:0NA,0:0NA,1:1B,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,9,12,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,3,9,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,3,9,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,3,0,0:0NA,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,10,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,9,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,14,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,6,14,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,6,19,1:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,5:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:0,1:1B,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,13,1:1B,1:1B,1:1A,1:1A,1:1C,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,0:0NA,1:1B-,1:0,2:0,1:0,0:0NA,0:0NA,1:1B-
230741B,2,N,0,12,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,10,13,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:0,1:1C+,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,6,12,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,1:0,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,6,13,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,7,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,0,10,0:0NA,0:0NA,1:0,1:1B,1:0,0:0NA,1:0,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,7,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,87,14,0:0NA,0:0NA,1:1C,1:1B,1:1C,1:0,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,16,1:1A,1:1A,1:1B,1:1A,1:1B,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1CR,1:1A,1:0,1:0,1:1B,2:0,0:0NA,0:0NA,1:1D
230741B,3,N,0,10,0:0NA,0:0NA,0:0NA,1:1D,1:0,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,59,18,1:1C,1:1B,1:1B,1:1B,1:1C,1:1C,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230741B,2,N,77,13,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,3,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,70,22,2:1C,1:0,1:1B,2:1B-,1:1C,1:1B,1:0,1:1B,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA
230741B,2,N,70,9,1:1B,1:1B,1:1A,1:1B,1:1C,1:1C,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:0,2:0,0:0NA,1:0,1:0,1:1D-,2:0,0:0NA,0:0NA,1:0
230741B,2,N,0,13,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,1:0,1:1D,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,0,11,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,70,13,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,1:1C,1:0,1:0,1:1D,1:0,0:0NA,0:0NA,1:0
230741B,3,N,61,12,1:1C,1:1B,1:1C,1:1A,1:1A,1:1B,1:1B-,1:1C,1:1C-,0:0NA,0:0NA,0:0NA,1:0,2:0,2:0,2:0,1:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230741B,2,N,76,12,0:0NA,0:0NA,1:1B,1:0,1:1B,1:0,1:1A,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,105,10,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,15,17,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,7,N,70,44,1:1C,1:1B,1:1C,1:1C,1:1B,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,3:0D,2:1B+,1:1C+,1:1C-,1:1D+,1:1B+,0:0NA,1:1D+
230741B,10,N,0,80,0:0NA,0:0NA,1:1C,1:1C+,1:1C-,1:0,1:1D+,2:1D,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,7,N,24,89,1:1B,1:1A,1:1C+,1:1A,1:1C,1:1B,1:1A,1:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1D,1:1C,1:1B,1:1B-,1:1C,1:1B,0:0NA,1:1A-
230741B,15,N,6,99,2:0,1:1C,2:0,1:1A,1:1B,1:1A,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1CR,1:1B+,1:1A-,1:1C+,1:1B-,1:1B,2:0,0:0NA,3:0
230741B,10,N,70,54,1:1C,1:1C,1:1B+,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,2:1CR,1:1C+,1:1B-,1:1C+,1:1A,1:1B-,1:1C,0:0NA,1:1C
230741B,17,N,16,85,1:1A,2:0,2:1B,1:1C,3:1C,2:0F,2:1B-,5:1C,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,3:0,0:0NA,0:0NA,0:0NA,0:0NA
230741B,6,N,0,122,1:1D,1:1C+,1:1C-,1:1A-,1:1C,1:1C-,1:1C+,1:1B-,1:1D,0:0NA,0:0NA,0:0NA,1:1B+,1:1CR,1:1D+,1:1C+,1:1B,1:1D+,1:1C-,1:1B-,0:0NA,1:1D
230741B,3,N,70,15,1:1C,1:0,1:1B,1:0,1:1B+,1:0,2:1A,1:1C,1:1B,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,15,N,0,91,3:0,3:1A,1:1C-,1:1B,2:1C,3:0,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,3:0,2:0,2:0,3:0,3:0,3:0,5:1C+,0:0NA,0:0NA,1:0
230741B,2,N,67.5,10,0:0NA,0:0NA,1:1C-,0:0NA,1:0F,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,0,57,0:0NA,0:0NA,1:0,0:0NA,1:1C,2:0,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,8,N,56,41,1:1B,1:1C,1:1B,0:0NA,1:1C+,1:1B,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1B+,1:1CR,1:1A,1:1B-,1:1B+,1:0F,1:0F,0:0NA,0:0NA,1:1C
230741B,2,N,70,9,1:1C,0:0NA,1:0F,1:1B,1:1C,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,11,N,19,116,2:0,1:1C,1:1D,1:1B,2:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1C,2:1CR,2:1D,2:1C,1:1D,1:1C,1:1D,1:1B,0:0NA,3:1C
